report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2025-02-01,ALLEGANY,10828,23647,9017,,52,55,,786,44385,MSR-2025_02.pdf,1.3.1
2025-02-01,ANNE ARUNDEL,173564,131403,106911,,455,243,,6792,419368,MSR-2025_02.pdf,1.3.1
2025-02-01,BALTIMORE CITY,300359,29792,64900,,754,413,,6638,402856,MSR-2025_02.pdf,1.3.1
2025-02-01,BALTIMORE CO.,309799,142326,122520,,743,409,,10274,586071,MSR-2025_02.pdf,1.3.1
2025-02-01,CALVERT,23592,29071,16808,,61,35,,1156,70723,MSR-2025_02.pdf,1.3.1
2025-02-01,CAROLINE,6003,11227,4978,,25,23,,373,22629,MSR-2025_02.pdf,1.3.1
2025-02-01,CARROLL,33197,64877,30954,,140,64,,2121,131353,MSR-2025_02.pdf,1.3.1
2025-02-01,CECIL,19015,35975,17435,,74,74,,1346,73919,MSR-2025_02.pdf,1.3.1
2025-02-01,CHARLES,76795,23945,25832,,121,90,,1700,128483,MSR-2025_02.pdf,1.3.1
2025-02-01,DORCHESTER,9578,9695,4407,,19,23,,391,24113,MSR-2025_02.pdf,1.3.1
2025-02-01,FREDERICK,79237,70075,55511,,233,113,,2971,208140,MSR-2025_02.pdf,1.3.1
2025-02-01,GARRETT,3443,14111,3136,,16,14,,308,21028,MSR-2025_02.pdf,1.3.1
2025-02-01,HARFORD,64526,82547,46108,,160,132,,3509,196982,MSR-2025_02.pdf,1.3.1
2025-02-01,HOWARD,123555,49232,64725,,295,75,,3501,241383,MSR-2025_02.pdf,1.3.1
2025-02-01,KENT,5696,5558,2851,,14,10,,215,14344,MSR-2025_02.pdf,1.3.1
2025-02-01,MONTGOMERY,409102,101982,177721,,913,253,,9726,699697,MSR-2025_02.pdf,1.3.1
2025-02-01,PR. GEORGE'S,462824,42645,105398,,705,349,,14254,626175,MSR-2025_02.pdf,1.3.1
2025-02-01,QUEEN ANNE'S,11225,20857,9093,,47,22,,605,41849,MSR-2025_02.pdf,1.3.1
2025-02-01,ST. MARY'S,25016,33587,18505,,68,54,,1294,78524,MSR-2025_02.pdf,1.3.1
2025-02-01,SOMERSET,5353,6366,2575,,16,11,,239,14560,MSR-2025_02.pdf,1.3.1
2025-02-01,TALBOT,10546,11787,6132,,21,8,,456,28950,MSR-2025_02.pdf,1.3.1
2025-02-01,WASHINGTON,30614,45571,24602,,128,92,,1706,102713,MSR-2025_02.pdf,1.3.1
2025-02-01,WICOMICO,26217,24864,15452,,71,61,,1284,67949,MSR-2025_02.pdf,1.3.1
2025-02-01,WORCESTER,13620,20176,9305,,44,22,,797,43964,MSR-2025_02.pdf,1.3.1
