report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2026-02-01,ALLEGANY,10736,23695,9506,,64,82,,751,44834,MSR-2026_02.pdf,1.3.1
2026-02-01,ANNE ARUNDEL,172242,129313,111025,,532,378,,6730,420220,MSR-2026_02.pdf,1.3.1
2026-02-01,BALTIMORE CITY,297775,29905,70932,,847,685,,6828,406972,MSR-2026_02.pdf,1.3.1
2026-02-01,BALTIMORE CO.,305850,140182,127809,,825,644,,9993,585303,MSR-2026_02.pdf,1.3.1
2026-02-01,CALVERT,23176,28803,17448,,67,57,,1122,70673,MSR-2026_02.pdf,1.3.1
2026-02-01,CAROLINE,5883,11333,5236,,34,32,,366,22884,MSR-2026_02.pdf,1.3.1
2026-02-01,CARROLL,32818,64127,31994,,157,108,,2008,131212,MSR-2026_02.pdf,1.3.1
2026-02-01,CECIL,18667,35937,18043,,84,115,,1275,74121,MSR-2026_02.pdf,1.3.1
2026-02-01,CHARLES,76988,23475,27367,,140,138,,1652,129760,MSR-2026_02.pdf,1.3.1
2026-02-01,DORCHESTER,9400,9742,4621,,21,33,,391,24208,MSR-2026_02.pdf,1.3.1
2026-02-01,FREDERICK,78098,68567,57142,,279,188,,2790,207064,MSR-2026_02.pdf,1.3.1
2026-02-01,GARRETT,3381,14067,3313,,23,17,,290,21091,MSR-2026_02.pdf,1.3.1
2026-02-01,HARFORD,64222,82391,47895,,207,209,,3366,198290,MSR-2026_02.pdf,1.3.1
2026-02-01,HOWARD,122682,47899,67582,,331,121,,3426,242041,MSR-2026_02.pdf,1.3.1
2026-02-01,KENT,5573,5579,2983,,16,14,,216,14381,MSR-2026_02.pdf,1.3.1
2026-02-01,MONTGOMERY,403394,100251,187831,,1075,455,,9548,702554,MSR-2026_02.pdf,1.3.1
2026-02-01,PR. GEORGE'S,455855,41833,112636,,829,625,,14065,625843,MSR-2026_02.pdf,1.3.1
2026-02-01,QUEEN ANNE'S,11216,20867,9415,,45,41,,601,42185,MSR-2026_02.pdf,1.3.1
2026-02-01,ST. MARY'S,24822,33401,19281,,77,75,,1208,78864,MSR-2026_02.pdf,1.3.1
2026-02-01,SOMERSET,5316,6359,2750,,21,21,,233,14700,MSR-2026_02.pdf,1.3.1
2026-02-01,TALBOT,10360,11728,6287,,23,16,,430,28844,MSR-2026_02.pdf,1.3.1
2026-02-01,WASHINGTON,30372,45057,25875,,151,135,,1643,103233,MSR-2026_02.pdf,1.3.1
2026-02-01,WICOMICO,25922,24685,16171,,83,109,,1267,68237,MSR-2026_02.pdf,1.3.1
2026-02-01,WORCESTER,13400,20231,9652,,48,31,,778,44140,MSR-2026_02.pdf,1.3.1
