report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2024-09-01,ALLEGANY,10849,23052,8862,272,54,,62,507,43658,MSR-2024_09.pdf,1.3.1
2024-09-01,ANNE ARUNDEL,173216,129562,105506,2538,455,,678,3782,415737,MSR-2024_09.pdf,1.3.1
2024-09-01,BALTIMORE CITY,299106,29102,63933,1263,701,,622,5084,399811,MSR-2024_09.pdf,1.3.1
2024-09-01,BALTIMORE CO.,308041,139338,119734,2710,675,,835,7042,578375,MSR-2024_09.pdf,1.3.1
2024-09-01,CALVERT,23522,28461,16572,460,67,,94,644,69820,MSR-2024_09.pdf,1.3.1
2024-09-01,CAROLINE,5994,10891,4927,129,25,,40,227,22233,MSR-2024_09.pdf,1.3.1
2024-09-01,CARROLL,33301,64209,30503,845,132,,136,1199,130325,MSR-2024_09.pdf,1.3.1
2024-09-01,CECIL,19053,35255,17316,485,72,,127,818,73126,MSR-2024_09.pdf,1.3.1
2024-09-01,CHARLES,75729,23318,25042,454,103,,155,1099,125900,MSR-2024_09.pdf,1.3.1
2024-09-01,DORCHESTER,9574,9482,4334,112,15,,33,250,23800,MSR-2024_09.pdf,1.3.1
2024-09-01,FREDERICK,78789,68925,54268,1270,224,,266,1503,205245,MSR-2024_09.pdf,1.3.1
2024-09-01,GARRETT,3475,13859,3061,111,20,,22,186,20734,MSR-2024_09.pdf,1.3.1
2024-09-01,HARFORD,64575,81530,45260,1295,158,,277,2053,195148,MSR-2024_09.pdf,1.3.1
2024-09-01,HOWARD,123368,48580,63155,976,244,,344,2205,238872,MSR-2024_09.pdf,1.3.1
2024-09-01,KENT,5721,5393,2817,73,16,,20,128,14168,MSR-2024_09.pdf,1.3.1
2024-09-01,MONTGOMERY,406004,98743,173554,2486,783,,992,6179,688741,MSR-2024_09.pdf,1.3.1
2024-09-01,PR. GEORGE'S,456887,39974,100970,1645,612,,956,11697,612741,MSR-2024_09.pdf,1.3.1
2024-09-01,QUEEN ANNE'S,11246,20442,8965,238,40,,52,332,41315,MSR-2024_09.pdf,1.3.1
2024-09-01,ST. MARY'S,24788,32618,18129,513,64,,95,747,76954,MSR-2024_09.pdf,1.3.1
2024-09-01,SOMERSET,5365,6256,2558,76,16,,18,154,14443,MSR-2024_09.pdf,1.3.1
2024-09-01,TALBOT,10562,11652,6022,175,24,,37,243,28715,MSR-2024_09.pdf,1.3.1
2024-09-01,WASHINGTON,30648,44628,24107,661,128,,135,1011,101318,MSR-2024_09.pdf,1.3.1
2024-09-01,WICOMICO,25950,24234,15090,389,63,,115,812,66653,MSR-2024_09.pdf,1.3.1
2024-09-01,WORCESTER,13654,19819,9242,247,41,,55,513,43571,MSR-2024_09.pdf,1.3.1
