report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2024-08-01,ALLEGANY,10781,22917,8798,271,55,,50,508,43380,MSR-2024_08.pdf,1.3.1
2024-08-01,ANNE ARUNDEL,171916,128807,104582,2519,452,,558,3797,412631,MSR-2024_08.pdf,1.3.1
2024-08-01,BALTIMORE CITY,297712,28872,63311,1243,676,,500,5103,397417,MSR-2024_08.pdf,1.3.1
2024-08-01,BALTIMORE CO.,306442,138412,118819,2701,656,,670,7072,574772,MSR-2024_08.pdf,1.3.1
2024-08-01,CALVERT,23385,28247,16490,456,67,,73,650,69368,MSR-2024_08.pdf,1.3.1
2024-08-01,CAROLINE,5967,10798,4912,126,25,,30,230,22088,MSR-2024_08.pdf,1.3.1
2024-08-01,CARROLL,33196,63956,30320,838,134,,120,1202,129766,MSR-2024_08.pdf,1.3.1
2024-08-01,CECIL,18950,35048,17202,482,72,,111,828,72693,MSR-2024_08.pdf,1.3.1
2024-08-01,CHARLES,75275,23159,24774,447,103,,130,1101,124989,MSR-2024_08.pdf,1.3.1
2024-08-01,DORCHESTER,9522,9429,4301,109,15,,25,251,23652,MSR-2024_08.pdf,1.3.1
2024-08-01,FREDERICK,78258,68595,53912,1261,222,,226,1508,203982,MSR-2024_08.pdf,1.3.1
2024-08-01,GARRETT,3465,13764,3045,109,19,,17,183,20602,MSR-2024_08.pdf,1.3.1
2024-08-01,HARFORD,64238,81051,44987,1294,158,,234,2046,194008,MSR-2024_08.pdf,1.3.1
2024-08-01,HOWARD,122722,48448,62788,977,236,,279,2232,237682,MSR-2024_08.pdf,1.3.1
2024-08-01,KENT,5709,5361,2808,73,16,,14,128,14109,MSR-2024_08.pdf,1.3.1
2024-08-01,MONTGOMERY,403515,98129,172033,2459,765,,811,6251,683963,MSR-2024_08.pdf,1.3.1
2024-08-01,PR. GEORGE'S,454819,39452,99972,1594,599,,775,11738,608949,MSR-2024_08.pdf,1.3.1
2024-08-01,QUEEN ANNE'S,11170,20328,8948,238,36,,44,331,41095,MSR-2024_08.pdf,1.3.1
2024-08-01,ST. MARY'S,24632,32343,17997,502,63,,70,753,76360,MSR-2024_08.pdf,1.3.1
2024-08-01,SOMERSET,5365,6218,2549,73,15,,15,152,14387,MSR-2024_08.pdf,1.3.1
2024-08-01,TALBOT,10488,11602,5974,168,22,,30,248,28532,MSR-2024_08.pdf,1.3.1
2024-08-01,WASHINGTON,30430,44300,23880,655,123,,100,1010,100498,MSR-2024_08.pdf,1.3.1
2024-08-01,WICOMICO,25825,24078,15001,383,59,,101,826,66273,MSR-2024_08.pdf,1.3.1
2024-08-01,WORCESTER,13558,19642,9185,247,42,,49,521,43244,MSR-2024_08.pdf,1.3.1
