report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version,source_file
2026-04-01,GARRETT,3360,14092,3361,,23.0,19.0,,289,21144,MSR-2026_04.pdf,1.3.1,MSR-2026_04.csv
2026-04-01,HARFORD,64446,82614,48342,,214.0,222.0,,3362,199200,MSR-2026_04.pdf,1.3.1,MSR-2026_04.csv
2026-04-01,HOWARD,123063,47593,68077,,351.0,133.0,,3406,242623,MSR-2026_04.pdf,1.3.1,MSR-2026_04.csv
2026-04-01,KENT,5575,5579,3002,,17.0,15.0,,212,14400,MSR-2026_04.pdf,1.3.1,MSR-2026_04.csv
2026-04-01,MONTGOMERY,405026,99964,189837,,1095.0,494.0,,9547,705963,MSR-2026_04.pdf,1.3.1,MSR-2026_04.csv
2026-04-01,PR. GEORGE'S,455571,41670,114413,,869.0,668.0,,14004,627195,MSR-2026_04.pdf,1.3.1,MSR-2026_04.csv
2026-04-01,QUEEN ANNE'S,11202,20872,9505,,46.0,41.0,,596,42262,MSR-2026_04.pdf,1.3.1,MSR-2026_04.csv
2026-04-01,ST. MARY'S,24881,33459,19478,,78.0,83.0,,1200,79179,MSR-2026_04.pdf,1.3.1,MSR-2026_04.csv
2026-04-01,SOMERSET,5304,6376,2804,,25.0,24.0,,230,14763,MSR-2026_04.pdf,1.3.1,MSR-2026_04.csv
2026-04-01,TALBOT,10394,11723,6358,,23.0,19.0,,423,28940,MSR-2026_04.pdf,1.3.1,MSR-2026_04.csv
2026-04-01,WASHINGTON,30429,45111,26210,,152.0,152.0,,1632,103686,MSR-2026_04.pdf,1.3.1,MSR-2026_04.csv
2026-04-01,WICOMICO,25619,24489,16155,,89.0,115.0,,1244,67711,MSR-2026_04.pdf,1.3.1,MSR-2026_04.csv
2026-04-01,WORCESTER,13373,20364,9743,,48.0,34.0,,765,44327,MSR-2026_04.pdf,1.3.1,MSR-2026_04.csv
