report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2025-05-01,ALLEGANY,10828,23756,9182,,55,55,,774,44650,MSR-2025_05.pdf,1.3.1
2025-05-01,ANNE ARUNDEL,173293,131117,108312,,479,268,,6645,420114,MSR-2025_05.pdf,1.3.1
2025-05-01,BALTIMORE CITY,301469,30314,67995,,795,435,,6829,407837,MSR-2025_05.pdf,1.3.1
2025-05-01,BALTIMORE CO.,308945,142063,123935,,761,436,,10220,586360,MSR-2025_05.pdf,1.3.1
2025-05-01,CALVERT,23533,29077,17074,,66,39,,1148,70937,MSR-2025_05.pdf,1.3.1
2025-05-01,CAROLINE,6003,11279,5082,,28,26,,375,22793,MSR-2025_05.pdf,1.3.1
2025-05-01,CARROLL,33184,64788,31297,,144,67,,2105,131585,MSR-2025_05.pdf,1.3.1
2025-05-01,CECIL,19038,36126,17675,,84,77,,1338,74338,MSR-2025_05.pdf,1.3.1
2025-05-01,CHARLES,76769,23860,26306,,130,99,,1682,128846,MSR-2025_05.pdf,1.3.1
2025-05-01,DORCHESTER,9505,9704,4484,,18,26,,385,24122,MSR-2025_05.pdf,1.3.1
2025-05-01,FREDERICK,79334,70052,56154,,249,123,,2926,208838,MSR-2025_05.pdf,1.3.1
2025-05-01,GARRETT,3438,14110,3194,,18,14,,296,21070,MSR-2025_05.pdf,1.3.1
2025-05-01,HARFORD,64493,82621,46686,,176,145,,3450,197571,MSR-2025_05.pdf,1.3.1
2025-05-01,HOWARD,123201,49059,65473,,311,88,,3504,241636,MSR-2025_05.pdf,1.3.1
2025-05-01,KENT,5690,5567,2879,,14,11,,211,14372,MSR-2025_05.pdf,1.3.1
2025-05-01,MONTGOMERY,409393,102678,182324,,958,274,,9814,705441,MSR-2025_05.pdf,1.3.1
2025-05-01,PR. GEORGE'S,461986,42694,107302,,743,399,,14249,627373,MSR-2025_05.pdf,1.3.1
2025-05-01,QUEEN ANNE'S,11297,20935,9201,,49,23,,616,42121,MSR-2025_05.pdf,1.3.1
2025-05-01,ST. MARY'S,25022,33675,18770,,71,57,,1275,78870,MSR-2025_05.pdf,1.3.1
2025-05-01,SOMERSET,5353,6396,2620,,18,16,,240,14643,MSR-2025_05.pdf,1.3.1
2025-05-01,TALBOT,10454,11738,6114,,22,7,,447,28782,MSR-2025_05.pdf,1.3.1
2025-05-01,WASHINGTON,30603,45519,24959,,136,99,,1681,102997,MSR-2025_05.pdf,1.3.1
2025-05-01,WICOMICO,26184,24876,15688,,73,72,,1279,68172,MSR-2025_05.pdf,1.3.1
2025-05-01,WORCESTER,13578,20213,9496,,45,22,,802,44156,MSR-2025_05.pdf,1.3.1
