report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2024-11-01,ALLEGANY,11024,23681,8952,284,57,,71,496,44565,MSR-2024_11.pdf,1.3.1
2024-11-01,ANNE ARUNDEL,176289,132033,107477,2570,487,,824,3779,423459,MSR-2024_11.pdf,1.3.1
2024-11-01,BALTIMORE CITY,305040,30052,65745,1285,762,,809,5116,408809,MSR-2024_11.pdf,1.3.1
2024-11-01,BALTIMORE CO.,312143,142246,121947,2761,735,,1015,7003,587850,MSR-2024_11.pdf,1.3.1
2024-11-01,CALVERT,23957,29183,16860,463,64,,112,634,71273,MSR-2024_11.pdf,1.3.1
2024-11-01,CAROLINE,6050,11194,4956,129,26,,45,223,22623,MSR-2024_11.pdf,1.3.1
2024-11-01,CARROLL,33671,65407,31099,870,140,,153,1209,132549,MSR-2024_11.pdf,1.3.1
2024-11-01,CECIL,19387,35977,17571,493,72,,147,822,74469,MSR-2024_11.pdf,1.3.1
2024-11-01,CHARLES,77233,24019,25626,471,120,,208,1116,128793,MSR-2024_11.pdf,1.3.1
2024-11-01,DORCHESTER,9678,9706,4402,119,16,,34,251,24206,MSR-2024_11.pdf,1.3.1
2024-11-01,FREDERICK,80026,70073,55078,1286,237,,319,1502,208521,MSR-2024_11.pdf,1.3.1
2024-11-01,GARRETT,3500,14134,3117,109,18,,25,183,21086,MSR-2024_11.pdf,1.3.1
2024-11-01,HARFORD,65362,82838,45869,1310,168,,338,2007,197892,MSR-2024_11.pdf,1.3.1
2024-11-01,HOWARD,125176,49406,64322,983,279,,401,2191,242758,MSR-2024_11.pdf,1.3.1
2024-11-01,KENT,5779,5527,2842,71,14,,23,125,14381,MSR-2024_11.pdf,1.3.1
2024-11-01,MONTGOMERY,414121,101708,178788,2559,907,,1272,6178,705533,MSR-2024_11.pdf,1.3.1
2024-11-01,PR. GEORGE'S,463995,41595,103269,1692,680,,1217,11642,624090,MSR-2024_11.pdf,1.3.1
2024-11-01,QUEEN ANNE'S,11314,20823,9046,241,46,,59,331,41860,MSR-2024_11.pdf,1.3.1
2024-11-01,ST. MARY'S,25490,33746,18609,534,72,,121,740,79312,MSR-2024_11.pdf,1.3.1
2024-11-01,SOMERSET,5410,6335,2586,77,17,,22,154,14601,MSR-2024_11.pdf,1.3.1
2024-11-01,TALBOT,10757,11876,6152,180,24,,41,243,29273,MSR-2024_11.pdf,1.3.1
2024-11-01,WASHINGTON,31296,45906,24583,682,130,,177,984,103758,MSR-2024_11.pdf,1.3.1
2024-11-01,WICOMICO,26389,24772,15396,393,71,,137,816,67974,MSR-2024_11.pdf,1.3.1
2024-11-01,WORCESTER,13802,20203,9332,245,42,,61,515,44200,MSR-2024_11.pdf,1.3.1
