report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2024-06-01,ALLEGANY,10827,22824,8786,266,,,34,566,43303,MSR-2024_06.pdf,1.3.1
2024-06-01,ANNE ARUNDEL,170657,128052,103138,2511,,,342,4251,408951,MSR-2024_06.pdf,1.3.1
2024-06-01,BALTIMORE CITY,294942,28293,61098,1180,,,209,5735,391457,MSR-2024_06.pdf,1.3.1
2024-06-01,BALTIMORE CO.,307069,138092,117815,2694,,,433,7801,573904,MSR-2024_06.pdf,1.3.1
2024-06-01,CALVERT,23236,28005,16231,454,,,53,718,68697,MSR-2024_06.pdf,1.3.1
2024-06-01,CAROLINE,5964,10691,4861,125,,,21,259,21921,MSR-2024_06.pdf,1.3.1
2024-06-01,CARROLL,33081,63510,29982,834,,,79,1323,128809,MSR-2024_06.pdf,1.3.1
2024-06-01,CECIL,19062,35071,17112,477,,,79,906,72707,MSR-2024_06.pdf,1.3.1
2024-06-01,CHARLES,74821,23027,24453,443,,,88,1199,124031,MSR-2024_06.pdf,1.3.1
2024-06-01,DORCHESTER,9498,9341,4251,110,,,17,261,23478,MSR-2024_06.pdf,1.3.1
2024-06-01,FREDERICK,77691,68073,53044,1260,,,148,1710,201926,MSR-2024_06.pdf,1.3.1
2024-06-01,GARRETT,3465,13716,3034,110,,,14,207,20546,MSR-2024_06.pdf,1.3.1
2024-06-01,HARFORD,64201,80792,44680,1285,,,160,2233,193351,MSR-2024_06.pdf,1.3.1
2024-06-01,HOWARD,121928,48237,61785,967,,,182,2472,235571,MSR-2024_06.pdf,1.3.1
2024-06-01,KENT,5730,5335,2788,70,,,8,144,14075,MSR-2024_06.pdf,1.3.1
2024-06-01,MONTGOMERY,405476,98097,170519,2416,,,385,7139,684032,MSR-2024_06.pdf,1.3.1
2024-06-01,PR. GEORGE'S,451183,38584,96352,1536,,,370,12291,600316,MSR-2024_06.pdf,1.3.1
2024-06-01,QUEEN ANNE'S,11110,20206,8809,235,,,30,380,40770,MSR-2024_06.pdf,1.3.1
2024-06-01,ST. MARY'S,24533,31960,17625,495,,,48,819,75480,MSR-2024_06.pdf,1.3.1
2024-06-01,SOMERSET,5382,6185,2530,71,,,12,170,14350,MSR-2024_06.pdf,1.3.1
2024-06-01,TALBOT,10599,11704,6062,169,,,18,274,28826,MSR-2024_06.pdf,1.3.1
2024-06-01,WASHINGTON,30423,44115,23554,658,,,54,1173,99977,MSR-2024_06.pdf,1.3.1
2024-06-01,WICOMICO,25911,24020,14929,377,,,66,888,66191,MSR-2024_06.pdf,1.3.1
2024-06-01,WORCESTER,13469,19381,8969,236,,,29,552,42636,MSR-2024_06.pdf,1.3.1
