report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2025-03-01,ALLEGANY,10810,23683,9098,,55,54,,781,44481,MSR-2025_03.pdf,1.3.1
2025-03-01,ANNE ARUNDEL,173256,131249,107393,,466,244,,6690,419298,MSR-2025_03.pdf,1.3.1
2025-03-01,BALTIMORE CITY,301847,30337,67140,,777,392,,6823,407316,MSR-2025_03.pdf,1.3.1
2025-03-01,BALTIMORE CO.,309107,142192,122990,,747,403,,10227,585666,MSR-2025_03.pdf,1.3.1
2025-03-01,CALVERT,23581,29095,16927,,64,34,,1155,70856,MSR-2025_03.pdf,1.3.1
2025-03-01,CAROLINE,5987,11244,5018,,26,24,,375,22674,MSR-2025_03.pdf,1.3.1
2025-03-01,CARROLL,33189,64849,31079,,141,64,,2125,131447,MSR-2025_03.pdf,1.3.1
2025-03-01,CECIL,19026,36032,17550,,77,72,,1346,74103,MSR-2025_03.pdf,1.3.1
2025-03-01,CHARLES,76785,23937,26056,,126,91,,1701,128696,MSR-2025_03.pdf,1.3.1
2025-03-01,DORCHESTER,9566,9709,4443,,17,23,,392,24150,MSR-2025_03.pdf,1.3.1
2025-03-01,FREDERICK,79320,70193,55863,,244,113,,2956,208689,MSR-2025_03.pdf,1.3.1
2025-03-01,GARRETT,3440,14115,3160,,16,14,,302,21047,MSR-2025_03.pdf,1.3.1
2025-03-01,HARFORD,64500,82632,46354,,169,134,,3489,197278,MSR-2025_03.pdf,1.3.1
2025-03-01,HOWARD,123357,49181,65031,,302,77,,3500,241448,MSR-2025_03.pdf,1.3.1
2025-03-01,KENT,5696,5559,2858,,14,10,,214,14351,MSR-2025_03.pdf,1.3.1
2025-03-01,MONTGOMERY,409937,102773,180962,,934,245,,9826,704677,MSR-2025_03.pdf,1.3.1
2025-03-01,PR. GEORGE'S,460669,42535,105480,,725,351,,14150,623910,MSR-2025_03.pdf,1.3.1
2025-03-01,QUEEN ANNE'S,11233,20862,9125,,48,22,,614,41904,MSR-2025_03.pdf,1.3.1
2025-03-01,ST. MARY'S,24991,33594,18601,,68,55,,1282,78591,MSR-2025_03.pdf,1.3.1
2025-03-01,SOMERSET,5366,6392,2609,,18,11,,241,14637,MSR-2025_03.pdf,1.3.1
2025-03-01,TALBOT,10477,11756,6082,,22,7,,451,28795,MSR-2025_03.pdf,1.3.1
2025-03-01,WASHINGTON,30574,45529,24716,,132,92,,1692,102735,MSR-2025_03.pdf,1.3.1
2025-03-01,WICOMICO,26201,24896,15527,,71,60,,1288,68043,MSR-2025_03.pdf,1.3.1
2025-03-01,WORCESTER,13602,20195,9378,,43,22,,797,44037,MSR-2025_03.pdf,1.3.1
