report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2025-12-01,ALLEGANY,10774,23745,9433,,60,76,,755,44843,MSR-2025_12.pdf,1.3.1
2025-12-01,ANNE ARUNDEL,172333,129616,110328,,519,352,,6770,419918,MSR-2025_12.pdf,1.3.1
2025-12-01,BALTIMORE CITY,298318,29957,70171,,839,631,,6793,406709,MSR-2025_12.pdf,1.3.1
2025-12-01,BALTIMORE CO.,306458,140512,126903,,812,611,,10061,585357,MSR-2025_12.pdf,1.3.1
2025-12-01,CALVERT,23200,28890,17374,,67,52,,1130,70713,MSR-2025_12.pdf,1.3.1
2025-12-01,CAROLINE,5906,11317,5196,,34,30,,368,22851,MSR-2025_12.pdf,1.3.1
2025-12-01,CARROLL,32916,64293,31816,,151,95,,2031,131302,MSR-2025_12.pdf,1.3.1
2025-12-01,CECIL,18673,35981,17978,,85,108,,1292,74117,MSR-2025_12.pdf,1.3.1
2025-12-01,CHARLES,76892,23560,27153,,139,134,,1653,129531,MSR-2025_12.pdf,1.3.1
2025-12-01,DORCHESTER,9427,9727,4579,,21,34,,391,24179,MSR-2025_12.pdf,1.3.1
2025-12-01,FREDERICK,78043,68791,56816,,273,171,,2814,206908,MSR-2025_12.pdf,1.3.1
2025-12-01,GARRETT,3395,14079,3304,,21,15,,295,21109,MSR-2025_12.pdf,1.3.1
2025-12-01,HARFORD,64292,82497,47642,,197,196,,3365,198189,MSR-2025_12.pdf,1.3.1
2025-12-01,HOWARD,122727,48199,67133,,330,110,,3424,241923,MSR-2025_12.pdf,1.3.1
2025-12-01,KENT,5609,5589,2945,,15,15,,213,14386,MSR-2025_12.pdf,1.3.1
2025-12-01,MONTGOMERY,403847,100766,186530,,1058,417,,9600,702218,MSR-2025_12.pdf,1.3.1
2025-12-01,PR. GEORGE'S,456385,41980,110737,,811,567,,14121,624601,MSR-2025_12.pdf,1.3.1
2025-12-01,QUEEN ANNE'S,11249,20878,9384,,45,35,,600,42191,MSR-2025_12.pdf,1.3.1
2025-12-01,ST. MARY'S,24836,33452,19198,,76,73,,1216,78851,MSR-2025_12.pdf,1.3.1
2025-12-01,SOMERSET,5327,6384,2722,,21,22,,233,14709,MSR-2025_12.pdf,1.3.1
2025-12-01,TALBOT,10368,11716,6249,,22,14,,433,28802,MSR-2025_12.pdf,1.3.1
2025-12-01,WASHINGTON,30410,45217,25642,,147,126,,1646,103188,MSR-2025_12.pdf,1.3.1
2025-12-01,WICOMICO,25923,24663,16074,,84,107,,1262,68113,MSR-2025_12.pdf,1.3.1
2025-12-01,WORCESTER,13463,20253,9613,,47,28,,780,44184,MSR-2025_12.pdf,1.3.1
