report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2024-07-01,ALLEGANY,10791,22883,8820,269,,,42,568,43373,MSR-2024_07.pdf,1.3.1
2024-07-01,ANNE ARUNDEL,171051,128420,103791,2507,,,459,4250,410478,MSR-2024_07.pdf,1.3.1
2024-07-01,BALTIMORE CITY,296091,28566,62284,1204,,,365,5753,394263,MSR-2024_07.pdf,1.3.1
2024-07-01,BALTIMORE CO.,306358,138172,118034,2702,,,545,7756,573567,MSR-2024_07.pdf,1.3.1
2024-07-01,CALVERT,23264,28135,16375,454,,,64,717,69009,MSR-2024_07.pdf,1.3.1
2024-07-01,CAROLINE,5962,10752,4895,124,,,26,253,22012,MSR-2024_07.pdf,1.3.1
2024-07-01,CARROLL,33112,63736,30168,842,,,105,1330,129293,MSR-2024_07.pdf,1.3.1
2024-07-01,CECIL,19011,35124,17141,480,,,96,909,72761,MSR-2024_07.pdf,1.3.1
2024-07-01,CHARLES,74913,23059,24567,445,,,109,2,123095,MSR-2024_07.pdf,1.3.1
2024-07-01,DORCHESTER,9504,9383,4276,109,,,22,262,23556,MSR-2024_07.pdf,1.3.1
2024-07-01,FREDERICK,77885,68337,53482,1267,,,197,1722,202890,MSR-2024_07.pdf,1.3.1
2024-07-01,GARRETT,3458,13722,3035,110,,,15,202,20542,MSR-2024_07.pdf,1.3.1
2024-07-01,HARFORD,64052,80784,44749,1277,,,194,2216,193272,MSR-2024_07.pdf,1.3.1
2024-07-01,HOWARD,122110,48332,62275,971,,,227,2463,236378,MSR-2024_07.pdf,1.3.1
2024-07-01,KENT,5710,5347,2801,71,,,12,143,14084,MSR-2024_07.pdf,1.3.1
2024-07-01,MONTGOMERY,402271,97741,171301,2455,,,614,7125,681507,MSR-2024_07.pdf,1.3.1
2024-07-01,PR. GEORGE'S,453276,39147,99087,1579,,,607,12363,606059,MSR-2024_07.pdf,1.3.1
2024-07-01,QUEEN ANNE'S,11128,20290,8880,238,,,36,374,40946,MSR-2024_07.pdf,1.3.1
2024-07-01,ST. MARY'S,24509,32171,17871,499,,,62,815,75927,MSR-2024_07.pdf,1.3.1
2024-07-01,SOMERSET,5368,6192,2545,70,,,14,166,14355,MSR-2024_07.pdf,1.3.1
2024-07-01,TALBOT,10424,11585,5956,167,,,25,273,28430,MSR-2024_07.pdf,1.3.1
2024-07-01,WASHINGTON,30258,44080,23642,649,,,80,1147,99856,MSR-2024_07.pdf,1.3.1
2024-07-01,WICOMICO,25823,23998,14915,384,,,83,885,66088,MSR-2024_07.pdf,1.3.1
2024-07-01,WORCESTER,13491,19480,9068,238,,,40,559,42876,MSR-2024_07.pdf,1.3.1
