report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2024-03-01,ALLEGANY,10946,22648,9001,261,,,0,571,43427,MSR-2024_03.pdf,1.3.1
2024-03-01,ANNE ARUNDEL,172730,128951,105269,2496,,,16,4324,413786,MSR-2024_03.pdf,1.3.1
2024-03-01,BALTIMORE CITY,296108,28400,62566,1192,,,26,5905,394197,MSR-2024_03.pdf,1.3.1
2024-03-01,BALTIMORE CO.,306276,137055,117601,2661,,,33,7846,571472,MSR-2024_03.pdf,1.3.1
2024-03-01,CALVERT,23477,28049,16404,460,,,5,738,69133,MSR-2024_03.pdf,1.3.1
2024-03-01,CAROLINE,6064,10702,4864,125,,,1,260,22016,MSR-2024_03.pdf,1.3.1
2024-03-01,CARROLL,33173,63488,30368,852,,,4,1341,129226,MSR-2024_03.pdf,1.3.1
2024-03-01,CECIL,19520,33771,17604,493,,,3,929,72320,MSR-2024_03.pdf,1.3.1
2024-03-01,CHARLES,74828,22962,24372,441,,,10,1208,123821,MSR-2024_03.pdf,1.3.1
2024-03-01,DORCHESTER,9521,9229,4221,115,,,0,262,23348,MSR-2024_03.pdf,1.3.1
2024-03-01,FREDERICK,77554,67917,52948,1245,,,12,1738,201414,MSR-2024_03.pdf,1.3.1
2024-03-01,GARRETT,3536,13710,3090,110,,,0,207,20653,MSR-2024_03.pdf,1.3.1
2024-03-01,HARFORD,64422,80499,44691,1254,,,5,2236,193107,MSR-2024_03.pdf,1.3.1
2024-03-01,HOWARD,121196,48131,61771,965,,,19,2503,234585,MSR-2024_03.pdf,1.3.1
2024-03-01,KENT,5770,5297,2778,69,,,0,143,14057,MSR-2024_03.pdf,1.3.1
2024-03-01,MONTGOMERY,406206,97862,171099,2361,,,55,7201,684784,MSR-2024_03.pdf,1.3.1
2024-03-01,PR. GEORGE'S,454311,38492,97563,1534,,,33,12544,604477,MSR-2024_03.pdf,1.3.1
2024-03-01,QUEEN ANNE'S,11031,20046,8867,233,,,2,391,40570,MSR-2024_03.pdf,1.3.1
2024-03-01,ST. MARY'S,24800,31918,17906,490,,,6,846,75966,MSR-2024_03.pdf,1.3.1
2024-03-01,SOMERSET,5440,6136,2518,66,,,0,167,14327,MSR-2024_03.pdf,1.3.1
2024-03-01,TALBOT,10543,11631,6049,160,,,0,277,28660,MSR-2024_03.pdf,1.3.1
2024-03-01,WASHINGTON,30839,44200,23794,655,,,2,1185,100675,MSR-2024_03.pdf,1.3.1
2024-03-01,WICOMICO,26203,23950,14769,361,,,1,912,66196,MSR-2024_03.pdf,1.3.1
2024-03-01,WORCESTER,13601,19485,9067,237,,,1,565,42956,MSR-2024_03.pdf,1.3.1
