report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2025-08-01,ALLEGANY,10847,23738,9272,,57,58,,767,44739,MSR-2025_08.pdf,1.3.1
2025-08-01,ANNE ARUNDEL,173820,130940,109658,,497,307,,6758,421980,MSR-2025_08.pdf,1.3.1
2025-08-01,BALTIMORE CITY,301189,30230,69299,,815,512,,6802,408847,MSR-2025_08.pdf,1.3.1
2025-08-01,BALTIMORE CO.,308952,141702,125736,,788,517,,10195,587890,MSR-2025_08.pdf,1.3.1
2025-08-01,CALVERT,23508,29119,17306,,67,45,,1153,71198,MSR-2025_08.pdf,1.3.1
2025-08-01,CAROLINE,5985,11304,5147,,29,27,,380,22872,MSR-2025_08.pdf,1.3.1
2025-08-01,CARROLL,33158,64626,31558,,149,74,,2072,131637,MSR-2025_08.pdf,1.3.1
2025-08-01,CECIL,18998,36136,17918,,80,91,,1318,74541,MSR-2025_08.pdf,1.3.1
2025-08-01,CHARLES,77255,23833,26813,,131,117,,1675,129824,MSR-2025_08.pdf,1.3.1
2025-08-01,DORCHESTER,9497,9714,4536,,19,29,,384,24179,MSR-2025_08.pdf,1.3.1
2025-08-01,FREDERICK,79567,69837,56936,,263,149,,2914,209666,MSR-2025_08.pdf,1.3.1
2025-08-01,GARRETT,3436,14129,3261,,18,14,,296,21154,MSR-2025_08.pdf,1.3.1
2025-08-01,HARFORD,64693,82773,47293,,187,170,,3423,198539,MSR-2025_08.pdf,1.3.1
2025-08-01,HOWARD,123669,48830,66504,,317,101,,3473,242894,MSR-2025_08.pdf,1.3.1
2025-08-01,KENT,5684,5582,2938,,14,14,,211,14443,MSR-2025_08.pdf,1.3.1
2025-08-01,MONTGOMERY,408388,102059,184574,,993,336,,9747,706097,MSR-2025_08.pdf,1.3.1
2025-08-01,PR. GEORGE'S,461170,42591,109164,,768,473,,14191,628357,MSR-2025_08.pdf,1.3.1
2025-08-01,QUEEN ANNE'S,11367,21008,9382,,50,28,,618,42453,MSR-2025_08.pdf,1.3.1
2025-08-01,ST. MARY'S,25056,33744,19035,,72,64,,1269,79240,MSR-2025_08.pdf,1.3.1
2025-08-01,SOMERSET,5362,6405,2695,,16,19,,240,14737,MSR-2025_08.pdf,1.3.1
2025-08-01,TALBOT,10421,11701,6157,,22,12,,436,28749,MSR-2025_08.pdf,1.3.1
2025-08-01,WASHINGTON,30704,45519,25402,,145,113,,1671,103554,MSR-2025_08.pdf,1.3.1
2025-08-01,WICOMICO,26186,24811,15925,,81,87,,1276,68366,MSR-2025_08.pdf,1.3.1
2025-08-01,WORCESTER,13564,20279,9601,,46,27,,805,44322,MSR-2025_08.pdf,1.3.1
