report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2026-03-01,ALLEGANY,10758,23715,9592,,66,88,,742,44961,MSR-2026_03.pdf,1.3.1
2026-03-01,ANNE ARUNDEL,172636,129318,111665,,535,404,,6703,421261,MSR-2026_03.pdf,1.3.1
2026-03-01,BALTIMORE CITY,297761,29937,71503,,856,720,,6832,407609,MSR-2026_03.pdf,1.3.1
2026-03-01,BALTIMORE CO.,305004,139755,128005,,829,670,,9941,584204,MSR-2026_03.pdf,1.3.1
2026-03-01,CALVERT,23164,28777,17505,,67,63,,1118,70694,MSR-2026_03.pdf,1.3.1
2026-03-01,CAROLINE,5872,11356,5259,,33,34,,366,22920,MSR-2026_03.pdf,1.3.1
2026-03-01,CARROLL,32816,64126,32138,,155,115,,2005,131355,MSR-2026_03.pdf,1.3.1
2026-03-01,CECIL,18675,36005,18154,,85,124,,1276,74319,MSR-2026_03.pdf,1.3.1
2026-03-01,CHARLES,77202,23469,27612,,146,145,,1648,130222,MSR-2026_03.pdf,1.3.1
2026-03-01,DORCHESTER,9385,9801,4651,,21,34,,390,24282,MSR-2026_03.pdf,1.3.1
2026-03-01,FREDERICK,78383,68616,57492,,281,195,,2793,207760,MSR-2026_03.pdf,1.3.1
2026-03-01,GARRETT,3369,14086,3340,,23,18,,288,21124,MSR-2026_03.pdf,1.3.1
2026-03-01,HARFORD,64343,82479,48158,,208,214,,3358,198760,MSR-2026_03.pdf,1.3.1
2026-03-01,HOWARD,122907,47777,67884,,342,129,,3420,242459,MSR-2026_03.pdf,1.3.1
2026-03-01,KENT,5578,5581,3007,,17,14,,215,14412,MSR-2026_03.pdf,1.3.1
2026-03-01,MONTGOMERY,403912,100040,188746,,1096,474,,9529,703797,MSR-2026_03.pdf,1.3.1
2026-03-01,PR. GEORGE'S,455231,41692,113517,,846,649,,14011,625946,MSR-2026_03.pdf,1.3.1
2026-03-01,QUEEN ANNE'S,11213,20864,9467,,46,40,,594,42224,MSR-2026_03.pdf,1.3.1
2026-03-01,ST. MARY'S,24813,33449,19395,,77,79,,1205,79018,MSR-2026_03.pdf,1.3.1
2026-03-01,SOMERSET,5329,6362,2787,,24,22,,231,14755,MSR-2026_03.pdf,1.3.1
2026-03-01,TALBOT,10389,11731,6326,,23,17,,425,28911,MSR-2026_03.pdf,1.3.1
2026-03-01,WASHINGTON,30392,45086,26031,,150,147,,1643,103449,MSR-2026_03.pdf,1.3.1
2026-03-01,WICOMICO,25855,24610,16211,,84,110,,1271,68141,MSR-2026_03.pdf,1.3.1
2026-03-01,WORCESTER,13384,20275,9708,,47,33,,771,44218,MSR-2026_03.pdf,1.3.1
