report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2025-09-01,ALLEGANY,10829,23762,9326,,57,64,,763,44801,MSR-2025_09.pdf,1.3.1
2025-09-01,ANNE ARUNDEL,173167,130362,109566,,505,314,,6782,420696,MSR-2025_09.pdf,1.3.1
2025-09-01,BALTIMORE CITY,300088,30188,69420,,825,548,,6800,407869,MSR-2025_09.pdf,1.3.1
2025-09-01,BALTIMORE CO.,308070,141386,125953,,792,541,,10139,586881,MSR-2025_09.pdf,1.3.1
2025-09-01,CALVERT,23394,29016,17280,,69,46,,1139,70944,MSR-2025_09.pdf,1.3.1
2025-09-01,CAROLINE,5966,11307,5174,,33,29,,371,22880,MSR-2025_09.pdf,1.3.1
2025-09-01,CARROLL,33120,64614,31687,,148,78,,2067,131714,MSR-2025_09.pdf,1.3.1
2025-09-01,CECIL,18880,36065,17908,,82,94,,1311,74340,MSR-2025_09.pdf,1.3.1
2025-09-01,CHARLES,77052,23711,26861,,135,120,,1660,129539,MSR-2025_09.pdf,1.3.1
2025-09-01,DORCHESTER,9474,9721,4543,,20,30,,384,24172,MSR-2025_09.pdf,1.3.1
2025-09-01,FREDERICK,78897,69356,56684,,268,154,,2870,208229,MSR-2025_09.pdf,1.3.1
2025-09-01,GARRETT,3419,14112,3276,,18,14,,295,21134,MSR-2025_09.pdf,1.3.1
2025-09-01,HARFORD,64559,82635,47357,,187,174,,3392,198304,MSR-2025_09.pdf,1.3.1
2025-09-01,HOWARD,123193,48551,66530,,330,105,,3448,242157,MSR-2025_09.pdf,1.3.1
2025-09-01,KENT,5658,5567,2942,,15,14,,211,14407,MSR-2025_09.pdf,1.3.1
2025-09-01,MONTGOMERY,406497,101619,184871,,1023,358,,9679,704047,MSR-2025_09.pdf,1.3.1
2025-09-01,PR. GEORGE'S,459965,42480,109903,,789,513,,14222,627872,MSR-2025_09.pdf,1.3.1
2025-09-01,QUEEN ANNE'S,11373,21043,9430,,48,31,,619,42544,MSR-2025_09.pdf,1.3.1
2025-09-01,ST. MARY'S,24945,33643,19057,,77,64,,1261,79047,MSR-2025_09.pdf,1.3.1
2025-09-01,SOMERSET,5341,6384,2694,,16,20,,236,14691,MSR-2025_09.pdf,1.3.1
2025-09-01,TALBOT,10427,11714,6194,,21,12,,438,28806,MSR-2025_09.pdf,1.3.1
2025-09-01,WASHINGTON,30611,45432,25422,,147,118,,1659,103389,MSR-2025_09.pdf,1.3.1
2025-09-01,WICOMICO,26102,24747,15963,,80,91,,1271,68254,MSR-2025_09.pdf,1.3.1
2025-09-01,WORCESTER,13547,20297,9586,,47,27,,797,44301,MSR-2025_09.pdf,1.3.1
