report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2024-10-01,ALLEGANY,10907,23301,8910,278,56,,67,502,44021,MSR-2024_10.pdf,1.3.1
2024-10-01,ANNE ARUNDEL,174740,130719,106349,2539,470,,802,3759,419378,MSR-2024_10.pdf,1.3.1
2024-10-01,BALTIMORE CITY,301169,29470,64650,1278,739,,758,5076,403140,MSR-2024_10.pdf,1.3.1
2024-10-01,BALTIMORE CO.,309642,140636,120788,2737,713,,979,6986,582481,MSR-2024_10.pdf,1.3.1
2024-10-01,CALVERT,23698,28750,16674,457,64,,112,642,70397,MSR-2024_10.pdf,1.3.1
2024-10-01,CAROLINE,5998,10981,4916,128,26,,44,227,22320,MSR-2024_10.pdf,1.3.1
2024-10-01,CARROLL,33450,64648,30672,863,139,,145,1197,131114,MSR-2024_10.pdf,1.3.1
2024-10-01,CECIL,19225,35526,17410,486,72,,145,821,73685,MSR-2024_10.pdf,1.3.1
2024-10-01,CHARLES,76235,23640,25214,456,112,,185,1101,126943,MSR-2024_10.pdf,1.3.1
2024-10-01,DORCHESTER,9627,9564,4354,116,16,,34,255,23966,MSR-2024_10.pdf,1.3.1
2024-10-01,FREDERICK,79406,69543,54623,1276,232,,312,1490,206882,MSR-2024_10.pdf,1.3.1
2024-10-01,GARRETT,3478,13993,3098,107,18,,25,182,20901,MSR-2024_10.pdf,1.3.1
2024-10-01,HARFORD,64869,82006,45434,1295,162,,326,2030,196122,MSR-2024_10.pdf,1.3.1
2024-10-01,HOWARD,124288,48942,63650,975,264,,397,2184,240700,MSR-2024_10.pdf,1.3.1
2024-10-01,KENT,5756,5459,2819,72,14,,23,127,14270,MSR-2024_10.pdf,1.3.1
2024-10-01,MONTGOMERY,410090,100358,175918,2535,877,,1251,6134,697163,MSR-2024_10.pdf,1.3.1
2024-10-01,PR. GEORGE'S,459608,40765,102001,1668,645,,1178,11621,617486,MSR-2024_10.pdf,1.3.1
2024-10-01,QUEEN ANNE'S,11265,20593,9015,239,45,,58,335,41550,MSR-2024_10.pdf,1.3.1
2024-10-01,ST. MARY'S,25107,33146,18294,528,66,,116,735,77992,MSR-2024_10.pdf,1.3.1
2024-10-01,SOMERSET,5374,6279,2565,78,17,,21,151,14485,MSR-2024_10.pdf,1.3.1
2024-10-01,TALBOT,10633,11728,6069,179,24,,40,241,28914,MSR-2024_10.pdf,1.3.1
2024-10-01,WASHINGTON,30869,45118,24310,667,127,,163,1000,102254,MSR-2024_10.pdf,1.3.1
2024-10-01,WICOMICO,26175,24553,15284,389,68,,135,815,67419,MSR-2024_10.pdf,1.3.1
2024-10-01,WORCESTER,13714,19977,9270,248,42,,64,512,43827,MSR-2024_10.pdf,1.3.1
