report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2026-04-01,ALLEGANY,10753,23719,9666,,67,92,,741,45038,MSR-2026_04.pdf,1.3.1
2026-04-01,ANNE ARUNDEL,172969,129264,112219,,537,413,,6679,422081,MSR-2026_04.pdf,1.3.1
2026-04-01,BALTIMORE CITY,297700,29989,72014,,855,744,,6841,408143,MSR-2026_04.pdf,1.3.1
2026-04-01,BALTIMORE CO.,305329,139790,128734,,837,697,,9933,585320,MSR-2026_04.pdf,1.3.1
2026-04-01,CALVERT,23166,28826,17555,,67,61,,1117,70792,MSR-2026_04.pdf,1.3.1
2026-04-01,CAROLINE,5888,11386,5303,,32,36,,363,23008,MSR-2026_04.pdf,1.3.1
2026-04-01,CARROLL,32873,64184,32223,,155,116,,1986,131537,MSR-2026_04.pdf,1.3.1
2026-04-01,CECIL,18701,35978,18212,,86,129,,1270,74376,MSR-2026_04.pdf,1.3.1
2026-04-01,CHARLES,77408,23442,27828,,148,148,,1653,130627,MSR-2026_04.pdf,1.3.1
2026-04-01,DORCHESTER,9398,9805,4683,,22,37,,395,24340,MSR-2026_04.pdf,1.3.1
2026-04-01,FREDERICK,78660,68632,57760,,290,199,,2795,208336,MSR-2026_04.pdf,1.3.1
2026-04-01,GARRETT,3360,14092,3361,,23,19,,289,21144,MSR-2026_04.pdf,1.3.1
2026-04-01,HARFORD,64446,82614,48342,,214,222,,3362,199200,MSR-2026_04.pdf,1.3.1
2026-04-01,HOWARD,123063,47593,68077,,351,133,,3406,242623,MSR-2026_04.pdf,1.3.1
2026-04-01,KENT,5575,5579,3002,,17,15,,212,14400,MSR-2026_04.pdf,1.3.1
2026-04-01,MONTGOMERY,405026,99964,189837,,1095,494,,9547,705963,MSR-2026_04.pdf,1.3.1
2026-04-01,PR. GEORGE'S,455571,41670,114413,,869,668,,14004,627195,MSR-2026_04.pdf,1.3.1
2026-04-01,QUEEN ANNE'S,11202,20872,9505,,46,41,,596,42262,MSR-2026_04.pdf,1.3.1
2026-04-01,ST. MARY'S,24881,33459,19478,,78,83,,1200,79179,MSR-2026_04.pdf,1.3.1
2026-04-01,SOMERSET,5304,6376,2804,,25,24,,230,14763,MSR-2026_04.pdf,1.3.1
2026-04-01,TALBOT,10394,11723,6358,,23,19,,423,28940,MSR-2026_04.pdf,1.3.1
2026-04-01,WASHINGTON,30429,45111,26210,,152,152,,1632,103686,MSR-2026_04.pdf,1.3.1
2026-04-01,WICOMICO,25619,24489,16155,,89,115,,1244,67711,MSR-2026_04.pdf,1.3.1
2026-04-01,WORCESTER,13373,20364,9743,,48,34,,765,44327,MSR-2026_04.pdf,1.3.1
