report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2025-01-01,ALLEGANY,10884,23706,9030,,56,,,850,44526,MSR-2025_01.pdf,1.3.1
2025-01-01,ANNE ARUNDEL,173357,131007,105835,,450,,,7004,417653,MSR-2025_01.pdf,1.3.1
2025-01-01,BALTIMORE CITY,301533,29822,65032,,751,,,7103,404241,MSR-2025_01.pdf,1.3.1
2025-01-01,BALTIMORE CO.,310930,142734,122496,,739,,,10768,587667,MSR-2025_01.pdf,1.3.1
2025-01-01,CALVERT,23670,29140,16792,,61,,,1210,70873,MSR-2025_01.pdf,1.3.1
2025-01-01,CAROLINE,5999,11217,4968,,25,,,399,22608,MSR-2025_01.pdf,1.3.1
2025-01-01,CARROLL,33400,65113,31032,,138,,,2211,131894,MSR-2025_01.pdf,1.3.1
2025-01-01,CECIL,19225,36070,17507,,72,,,1451,74325,MSR-2025_01.pdf,1.3.1
2025-01-01,CHARLES,77008,24091,25780,,118,,,1806,128803,MSR-2025_01.pdf,1.3.1
2025-01-01,DORCHESTER,9636,9706,4401,,18,,,416,24177,MSR-2025_01.pdf,1.3.1
2025-01-01,FREDERICK,79641,70224,55469,,233,,,3114,208681,MSR-2025_01.pdf,1.3.1
2025-01-01,GARRETT,3464,14131,3138,,16,,,324,21073,MSR-2025_01.pdf,1.3.1
2025-01-01,HARFORD,64849,82755,46022,,162,,,3671,197459,MSR-2025_01.pdf,1.3.1
2025-01-01,HOWARD,124105,49300,64586,,290,,,3594,241875,MSR-2025_01.pdf,1.3.1
2025-01-01,KENT,5727,5574,2854,,14,,,224,14393,MSR-2025_01.pdf,1.3.1
2025-01-01,MONTGOMERY,410731,101752,176689,,916,,,9814,699902,MSR-2025_01.pdf,1.3.1
2025-01-01,PR. GEORGE'S,462848,42548,104859,,691,,,14624,625570,MSR-2025_01.pdf,1.3.1
2025-01-01,QUEEN ANNE'S,11262,20840,9060,,47,,,627,41836,MSR-2025_01.pdf,1.3.1
2025-01-01,ST. MARY'S,25142,33652,18549,,66,,,1366,78775,MSR-2025_01.pdf,1.3.1
2025-01-01,SOMERSET,5385,6357,2572,,16,,,249,14579,MSR-2025_01.pdf,1.3.1
2025-01-01,TALBOT,10600,11831,6141,,22,,,468,29062,MSR-2025_01.pdf,1.3.1
2025-01-01,WASHINGTON,30990,45878,24779,,127,,,1843,103617,MSR-2025_01.pdf,1.3.1
2025-01-01,WICOMICO,26303,24885,15436,,70,,,1355,68049,MSR-2025_01.pdf,1.3.1
2025-01-01,WORCESTER,13696,20237,9310,,43,,,830,44116,MSR-2025_01.pdf,1.3.1
