report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2024-12-01,ALLEGANY,10937,23617,8928,284,56,,75,487,44384,MSR-2024_12.pdf,1.3.1
2024-12-01,ANNE ARUNDEL,173088,130262,104811,2474,465,,813,3611,415524,MSR-2024_12.pdf,1.3.1
2024-12-01,BALTIMORE CITY,302977,29866,65166,1276,753,,795,5065,405898,MSR-2024_12.pdf,1.3.1
2024-12-01,BALTIMORE CO.,310449,141796,121156,2735,716,,989,6873,584714,MSR-2024_12.pdf,1.3.1
2024-12-01,CALVERT,23785,29168,16801,464,60,,126,622,71026,MSR-2024_12.pdf,1.3.1
2024-12-01,CAROLINE,6015,11187,4939,128,25,,51,218,22563,MSR-2024_12.pdf,1.3.1
2024-12-01,CARROLL,33460,65142,30974,849,138,,169,1199,131931,MSR-2024_12.pdf,1.3.1
2024-12-01,CECIL,19261,35933,17426,489,68,,154,818,74149,MSR-2024_12.pdf,1.3.1
2024-12-01,CHARLES,77094,24057,25595,472,119,,231,1089,128657,MSR-2024_12.pdf,1.3.1
2024-12-01,DORCHESTER,9649,9712,4388,124,17,,41,251,24182,MSR-2024_12.pdf,1.3.1
2024-12-01,FREDERICK,79386,69676,54519,1268,231,,313,1451,206844,MSR-2024_12.pdf,1.3.1
2024-12-01,GARRETT,3480,14125,3126,107,16,,31,181,21066,MSR-2024_12.pdf,1.3.1
2024-12-01,HARFORD,65110,82836,45957,1298,165,,388,1986,197740,MSR-2024_12.pdf,1.3.1
2024-12-01,HOWARD,124713,49444,64521,1001,291,,446,2156,242572,MSR-2024_12.pdf,1.3.1
2024-12-01,KENT,5742,5563,2847,72,14,,21,128,14387,MSR-2024_12.pdf,1.3.1
2024-12-01,MONTGOMERY,414527,102570,178426,2583,920,,1293,6056,706375,MSR-2024_12.pdf,1.3.1
2024-12-01,PR. GEORGE'S,463687,42330,104474,1725,676,,1288,11554,625734,MSR-2024_12.pdf,1.3.1
2024-12-01,QUEEN ANNE'S,11288,20837,9018,235,46,,67,329,41820,MSR-2024_12.pdf,1.3.1
2024-12-01,ST. MARY'S,25161,33468,18361,525,70,,128,724,78437,MSR-2024_12.pdf,1.3.1
2024-12-01,SOMERSET,5403,6357,2576,76,16,,28,150,14606,MSR-2024_12.pdf,1.3.1
2024-12-01,TALBOT,10640,11851,6132,177,23,,53,243,29119,MSR-2024_12.pdf,1.3.1
2024-12-01,WASHINGTON,31120,45883,24697,664,129,,201,984,103678,MSR-2024_12.pdf,1.3.1
2024-12-01,WICOMICO,26481,24969,15452,400,71,,160,812,68345,MSR-2024_12.pdf,1.3.1
2024-12-01,WORCESTER,13708,20151,9237,248,42,,68,509,43963,MSR-2024_12.pdf,1.3.1
