report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2024-05-01,ALLEGANY,10957,22760,8992,265,,,21,572,43567,MSR-2024_05.pdf,1.3.1
2024-05-01,ANNE ARUNDEL,173325,129487,105156,2509,,,200,4326,415003,MSR-2024_05.pdf,1.3.1
2024-05-01,BALTIMORE CITY,296923,28556,62599,1198,,,199,5912,395387,MSR-2024_05.pdf,1.3.1
2024-05-01,BALTIMORE CO.,307367,137983,116792,2681,,,231,7761,572815,MSR-2024_05.pdf,1.3.1
2024-05-01,CALVERT,23555,28185,16353,462,,,39,728,69322,MSR-2024_05.pdf,1.3.1
2024-05-01,CAROLINE,6065,10745,4847,127,,,9,259,22052,MSR-2024_05.pdf,1.3.1
2024-05-01,CARROLL,33316,63898,29993,841,,,49,1326,129423,MSR-2024_05.pdf,1.3.1
2024-05-01,CECIL,19134,34648,17353,491,,,37,926,72589,MSR-2024_05.pdf,1.3.1
2024-05-01,CHARLES,75082,23093,24413,442,,,47,1211,124288,MSR-2024_05.pdf,1.3.1
2024-05-01,DORCHESTER,9511,9278,4215,113,,,8,260,23385,MSR-2024_05.pdf,1.3.1
2024-05-01,FREDERICK,77906,68198,52867,1256,,,101,1731,202059,MSR-2024_05.pdf,1.3.1
2024-05-01,GARRETT,3522,13804,3087,109,,,6,205,20733,MSR-2024_05.pdf,1.3.1
2024-05-01,HARFORD,64524,80880,44543,1273,,,83,2238,193541,MSR-2024_05.pdf,1.3.1
2024-05-01,HOWARD,122073,48463,61318,974,,,105,2469,235402,MSR-2024_05.pdf,1.3.1
2024-05-01,KENT,5758,5307,2779,71,,,3,144,14062,MSR-2024_05.pdf,1.3.1
2024-05-01,MONTGOMERY,407995,98486,171413,2415,,,299,7205,687813,MSR-2024_05.pdf,1.3.1
2024-05-01,PR. GEORGE'S,455152,38819,98090,1552,,,275,12534,606422,MSR-2024_05.pdf,1.3.1
2024-05-01,QUEEN ANNE'S,11077,20094,8886,237,,,16,391,40701,MSR-2024_05.pdf,1.3.1
2024-05-01,ST. MARY'S,24912,32142,17985,502,,,41,845,76427,MSR-2024_05.pdf,1.3.1
2024-05-01,SOMERSET,5424,6163,2526,70,,,6,168,14357,MSR-2024_05.pdf,1.3.1
2024-05-01,TALBOT,10615,11673,6034,166,,,12,275,28775,MSR-2024_05.pdf,1.3.1
2024-05-01,WASHINGTON,30920,44448,23779,661,,,30,1186,101024,MSR-2024_05.pdf,1.3.1
2024-05-01,WICOMICO,26169,24020,14807,364,,,25,910,66295,MSR-2024_05.pdf,1.3.1
2024-05-01,WORCESTER,13633,19538,9072,239,,,16,564,43062,MSR-2024_05.pdf,1.3.1
