report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2025-10-01,ALLEGANY,10816,23788,9376,,58,70,,762,44870,MSR-2025_10.pdf,1.3.1
2025-10-01,ANNE ARUNDEL,173169,130448,110190,,515,330,,6806,421458,MSR-2025_10.pdf,1.3.1
2025-10-01,BALTIMORE CITY,299951,30218,69975,,838,581,,6811,408374,MSR-2025_10.pdf,1.3.1
2025-10-01,BALTIMORE CO.,307758,141260,126519,,802,565,,10137,587041,MSR-2025_10.pdf,1.3.1
2025-10-01,CALVERT,23332,28996,17342,,69,51,,1139,70929,MSR-2025_10.pdf,1.3.1
2025-10-01,CAROLINE,5954,11334,5195,,33,31,,373,22920,MSR-2025_10.pdf,1.3.1
2025-10-01,CARROLL,33018,64560,31786,,149,83,,2065,131661,MSR-2025_10.pdf,1.3.1
2025-10-01,CECIL,18855,36094,18006,,84,98,,1312,74449,MSR-2025_10.pdf,1.3.1
2025-10-01,CHARLES,76988,23708,27000,,137,123,,1661,129617,MSR-2025_10.pdf,1.3.1
2025-10-01,DORCHESTER,9482,9741,4545,,21,31,,386,24206,MSR-2025_10.pdf,1.3.1
2025-10-01,FREDERICK,78539,69275,56936,,277,166,,2869,208062,MSR-2025_10.pdf,1.3.1
2025-10-01,GARRETT,3410,14114,3282,,19,14,,294,21133,MSR-2025_10.pdf,1.3.1
2025-10-01,HARFORD,64479,82742,47535,,189,182,,3401,198528,MSR-2025_10.pdf,1.3.1
2025-10-01,HOWARD,123249,48580,66905,,333,108,,3449,242624,MSR-2025_10.pdf,1.3.1
2025-10-01,KENT,5639,5593,2952,,15,15,,214,14428,MSR-2025_10.pdf,1.3.1
2025-10-01,MONTGOMERY,406298,101629,186051,,1045,388,,9667,705078,MSR-2025_10.pdf,1.3.1
2025-10-01,PR. GEORGE'S,459548,42508,110750,,803,538,,14228,628375,MSR-2025_10.pdf,1.3.1
2025-10-01,QUEEN ANNE'S,11277,20888,9352,,46,33,,605,42201,MSR-2025_10.pdf,1.3.1
2025-10-01,ST. MARY'S,24899,33621,19182,,75,65,,1247,79089,MSR-2025_10.pdf,1.3.1
2025-10-01,SOMERSET,5347,6410,2708,,18,21,,238,14742,MSR-2025_10.pdf,1.3.1
2025-10-01,TALBOT,10426,11731,6224,,22,13,,440,28856,MSR-2025_10.pdf,1.3.1
2025-10-01,WASHINGTON,30591,45394,25543,,148,121,,1658,103455,MSR-2025_10.pdf,1.3.1
2025-10-01,WICOMICO,26128,24759,16046,,80,98,,1281,68392,MSR-2025_10.pdf,1.3.1
2025-10-01,WORCESTER,13540,20301,9616,,47,26,,797,44327,MSR-2025_10.pdf,1.3.1
