report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2025-07-01,ALLEGANY,10844,23760,9245,,56,57,,770,44732,MSR-2025_07.pdf,1.3.1
2025-07-01,ANNE ARUNDEL,173577,130947,109337,,491,301,,6636,421289,MSR-2025_07.pdf,1.3.1
2025-07-01,BALTIMORE CITY,301232,30222,68866,,813,497,,6795,408425,MSR-2025_07.pdf,1.3.1
2025-07-01,BALTIMORE CO.,308769,141760,125121,,779,490,,10207,587126,MSR-2025_07.pdf,1.3.1
2025-07-01,CALVERT,23491,29075,17214,,67,41,,1153,71041,MSR-2025_07.pdf,1.3.1
2025-07-01,CAROLINE,5994,11298,5133,,29,27,,378,22859,MSR-2025_07.pdf,1.3.1
2025-07-01,CARROLL,33187,64712,31506,,147,71,,2086,131709,MSR-2025_07.pdf,1.3.1
2025-07-01,CECIL,18984,36108,17806,,81,82,,1324,74385,MSR-2025_07.pdf,1.3.1
2025-07-01,CHARLES,77021,23798,26624,,131,111,,1671,129356,MSR-2025_07.pdf,1.3.1
2025-07-01,DORCHESTER,9485,9704,4519,,18,29,,385,24140,MSR-2025_07.pdf,1.3.1
2025-07-01,FREDERICK,79476,69802,56751,,256,140,,2915,209340,MSR-2025_07.pdf,1.3.1
2025-07-01,GARRETT,3428,14130,3234,,18,14,,296,21120,MSR-2025_07.pdf,1.3.1
2025-07-01,HARFORD,64636,82706,47102,,184,168,,3418,198214,MSR-2025_07.pdf,1.3.1
2025-07-01,HOWARD,123509,48902,66163,,316,96,,3477,242463,MSR-2025_07.pdf,1.3.1
2025-07-01,KENT,5682,5563,2911,,14,14,,211,14395,MSR-2025_07.pdf,1.3.1
2025-07-01,MONTGOMERY,408168,102206,183845,,990,319,,9755,705283,MSR-2025_07.pdf,1.3.1
2025-07-01,PR. GEORGE'S,461363,42612,108613,,762,458,,14188,627996,MSR-2025_07.pdf,1.3.1
2025-07-01,QUEEN ANNE'S,11330,20999,9324,,49,28,,613,42343,MSR-2025_07.pdf,1.3.1
2025-07-01,ST. MARY'S,25036,33711,18913,,69,62,,1270,79061,MSR-2025_07.pdf,1.3.1
2025-07-01,SOMERSET,5345,6395,2669,,17,18,,240,14684,MSR-2025_07.pdf,1.3.1
2025-07-01,TALBOT,10412,11714,6142,,22,10,,440,28740,MSR-2025_07.pdf,1.3.1
2025-07-01,WASHINGTON,30646,45480,25238,,142,113,,1676,103295,MSR-2025_07.pdf,1.3.1
2025-07-01,WICOMICO,26179,24808,15841,,80,83,,1277,68268,MSR-2025_07.pdf,1.3.1
2025-07-01,WORCESTER,13567,20234,9554,,44,27,,806,44232,MSR-2025_07.pdf,1.3.1
