report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2025-11-01,ALLEGANY,10822,23813,9428,,60,72,,764,44959,MSR-2025_11.pdf,1.3.1
2025-11-01,ANNE ARUNDEL,173141,130354,110607,,519,348,,6813,421782,MSR-2025_11.pdf,1.3.1
2025-11-01,BALTIMORE CITY,299795,30232,70308,,849,610,,6816,408610,MSR-2025_11.pdf,1.3.1
2025-11-01,BALTIMORE CO.,307689,141111,127064,,807,591,,10132,587394,MSR-2025_11.pdf,1.3.1
2025-11-01,CALVERT,23301,28992,17386,,69,51,,1140,70939,MSR-2025_11.pdf,1.3.1
2025-11-01,CAROLINE,5936,11339,5219,,33,30,,366,22923,MSR-2025_11.pdf,1.3.1
2025-11-01,CARROLL,33039,64596,31904,,150,87,,2052,131828,MSR-2025_11.pdf,1.3.1
2025-11-01,CECIL,18809,36062,18045,,86,100,,1304,74406,MSR-2025_11.pdf,1.3.1
2025-11-01,CHARLES,77044,23688,27115,,140,125,,1663,129775,MSR-2025_11.pdf,1.3.1
2025-11-01,DORCHESTER,9468,9738,4566,,21,33,,394,24220,MSR-2025_11.pdf,1.3.1
2025-11-01,FREDERICK,78567,69251,57106,,277,170,,2864,208235,MSR-2025_11.pdf,1.3.1
2025-11-01,GARRETT,3403,14112,3302,,21,14,,294,21146,MSR-2025_11.pdf,1.3.1
2025-11-01,HARFORD,64578,82853,47699,,193,190,,3408,198921,MSR-2025_11.pdf,1.3.1
2025-11-01,HOWARD,123356,48528,67171,,334,106,,3455,242950,MSR-2025_11.pdf,1.3.1
2025-11-01,KENT,5656,5603,2950,,15,15,,216,14455,MSR-2025_11.pdf,1.3.1
2025-11-01,MONTGOMERY,406137,101463,186702,,1051,406,,9658,705417,MSR-2025_11.pdf,1.3.1
2025-11-01,PR. GEORGE'S,459335,42452,111032,,809,554,,14215,628397,MSR-2025_11.pdf,1.3.1
2025-11-01,QUEEN ANNE'S,11281,20906,9384,,47,33,,604,42255,MSR-2025_11.pdf,1.3.1
2025-11-01,ST. MARY'S,24912,33632,19242,,75,69,,1236,79166,MSR-2025_11.pdf,1.3.1
2025-11-01,SOMERSET,5330,6398,2713,,18,21,,235,14715,MSR-2025_11.pdf,1.3.1
2025-11-01,TALBOT,10416,11740,6245,,21,14,,436,28872,MSR-2025_11.pdf,1.3.1
2025-11-01,WASHINGTON,30586,45398,25648,,148,124,,1659,103563,MSR-2025_11.pdf,1.3.1
2025-11-01,WICOMICO,26115,24783,16111,,82,101,,1281,68473,MSR-2025_11.pdf,1.3.1
2025-11-01,WORCESTER,13535,20343,9649,,48,27,,789,44391,MSR-2025_11.pdf,1.3.1
