report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2025-06-01,ALLEGANY,10841,23767,9198,,56,55,,773,44690,MSR-2025_06.pdf,1.3.1
2025-06-01,ANNE ARUNDEL,173207,130852,108661,,488,285,,6646,420139,MSR-2025_06.pdf,1.3.1
2025-06-01,BALTIMORE CITY,301146,30245,68370,,803,463,,6798,407825,MSR-2025_06.pdf,1.3.1
2025-06-01,BALTIMORE CO.,308715,141783,124374,,774,447,,10200,586293,MSR-2025_06.pdf,1.3.1
2025-06-01,CALVERT,23486,29045,17108,,67,41,,1148,70895,MSR-2025_06.pdf,1.3.1
2025-06-01,CAROLINE,6002,11280,5104,,29,26,,375,22816,MSR-2025_06.pdf,1.3.1
2025-06-01,CARROLL,33146,64637,31352,,144,69,,2093,131441,MSR-2025_06.pdf,1.3.1
2025-06-01,CECIL,18980,36072,17727,,80,80,,1330,74269,MSR-2025_06.pdf,1.3.1
2025-06-01,CHARLES,76842,23807,26423,,130,106,,1672,128980,MSR-2025_06.pdf,1.3.1
2025-06-01,DORCHESTER,9495,9701,4504,,18,26,,387,24131,MSR-2025_06.pdf,1.3.1
2025-06-01,FREDERICK,79357,69843,56391,,251,130,,2917,208889,MSR-2025_06.pdf,1.3.1
2025-06-01,GARRETT,3434,14114,3213,,18,15,,295,21089,MSR-2025_06.pdf,1.3.1
2025-06-01,HARFORD,64494,82637,46857,,179,156,,3432,197755,MSR-2025_06.pdf,1.3.1
2025-06-01,HOWARD,123331,48934,65777,,315,91,,3488,241936,MSR-2025_06.pdf,1.3.1
2025-06-01,KENT,5676,5562,2889,,14,14,,211,14366,MSR-2025_06.pdf,1.3.1
2025-06-01,MONTGOMERY,408818,102477,183003,,979,295,,9802,705374,MSR-2025_06.pdf,1.3.1
2025-06-01,PR. GEORGE'S,461672,42644,107959,,755,425,,14207,627662,MSR-2025_06.pdf,1.3.1
2025-06-01,QUEEN ANNE'S,11306,20987,9265,,49,25,,616,42248,MSR-2025_06.pdf,1.3.1
2025-06-01,ST. MARY'S,25017,33661,18802,,70,61,,1274,78885,MSR-2025_06.pdf,1.3.1
2025-06-01,SOMERSET,5343,6397,2642,,18,16,,238,14654,MSR-2025_06.pdf,1.3.1
2025-06-01,TALBOT,10394,11720,6119,,22,8,,444,28707,MSR-2025_06.pdf,1.3.1
2025-06-01,WASHINGTON,30605,45444,25069,,138,103,,1677,103036,MSR-2025_06.pdf,1.3.1
2025-06-01,WICOMICO,26163,24811,15739,,78,80,,1274,68145,MSR-2025_06.pdf,1.3.1
2025-06-01,WORCESTER,13559,20205,9499,,44,23,,803,44133,MSR-2025_06.pdf,1.3.1
