report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2024-04-01,ALLEGANY,10967,22756,9001,265,,,3,571,43563,MSR-2024_04.pdf,1.3.1
2024-04-01,ANNE ARUNDEL,173333,129488,105265,2514,,,50,4331,414981,MSR-2024_04.pdf,1.3.1
2024-04-01,BALTIMORE CITY,296628,28557,62638,1198,,,83,5920,395024,MSR-2024_04.pdf,1.3.1
2024-04-01,BALTIMORE CO.,306808,137606,117801,2690,,,83,7863,572851,MSR-2024_04.pdf,1.3.1
2024-04-01,CALVERT,23546,28137,16412,463,,,18,735,69311,MSR-2024_04.pdf,1.3.1
2024-04-01,CAROLINE,6068,10722,4880,127,,,1,263,22061,MSR-2024_04.pdf,1.3.1
2024-04-01,CARROLL,33337,63784,30168,848,,,15,1333,129485,MSR-2024_04.pdf,1.3.1
2024-04-01,CECIL,19146,34623,17361,491,,,16,926,72563,MSR-2024_04.pdf,1.3.1
2024-04-01,CHARLES,75031,23097,24429,442,,,21,1212,124232,MSR-2024_04.pdf,1.3.1
2024-04-01,DORCHESTER,9523,9276,4230,114,,,1,261,23405,MSR-2024_04.pdf,1.3.1
2024-04-01,FREDERICK,77898,68181,52931,1258,,,39,1734,202041,MSR-2024_04.pdf,1.3.1
2024-04-01,GARRETT,3529,13770,3110,110,,,2,209,20730,MSR-2024_04.pdf,1.3.1
2024-04-01,HARFORD,64534,80783,44713,1275,,,16,2256,193577,MSR-2024_04.pdf,1.3.1
2024-04-01,HOWARD,121728,48312,61690,976,,,39,2489,235234,MSR-2024_04.pdf,1.3.1
2024-04-01,KENT,5771,5308,2777,70,,,0,147,14073,MSR-2024_04.pdf,1.3.1
2024-04-01,MONTGOMERY,407590,98514,171465,2413,,,132,7213,687327,MSR-2024_04.pdf,1.3.1
2024-04-01,PR. GEORGE'S,455084,38833,98132,1551,,,73,12540,606213,MSR-2024_04.pdf,1.3.1
2024-04-01,QUEEN ANNE'S,11080,20077,8889,237,,,3,392,40678,MSR-2024_04.pdf,1.3.1
2024-04-01,ST. MARY'S,24899,32098,17984,501,,,16,846,76344,MSR-2024_04.pdf,1.3.1
2024-04-01,SOMERSET,5430,6173,2531,70,,,1,169,14374,MSR-2024_04.pdf,1.3.1
2024-04-01,TALBOT,10597,11677,6048,166,,,4,274,28766,MSR-2024_04.pdf,1.3.1
2024-04-01,WASHINGTON,30924,44410,23871,661,,,7,1194,101067,MSR-2024_04.pdf,1.3.1
2024-04-01,WICOMICO,26200,24039,14819,364,,,4,913,66339,MSR-2024_04.pdf,1.3.1
2024-04-01,WORCESTER,13643,19555,9079,240,,,3,564,43084,MSR-2024_04.pdf,1.3.1
