report_date,county,DEM,REP,UNA,LIB,GRN,WCP,NLM,OTH,TOTAL,source_pdf,parser_version
2024-02-01,ALLEGANY,10964,22584,8940,260,,,0,570,43318,MSR-2024_02.pdf,1.3.1
2024-02-01,ANNE ARUNDEL,172633,128754,104664,2472,,,7,4312,412842,MSR-2024_02.pdf,1.3.1
2024-02-01,BALTIMORE CITY,295429,28148,61422,1158,,,9,5844,392010,MSR-2024_02.pdf,1.3.1
2024-02-01,BALTIMORE CO.,306665,136855,116837,2659,,,16,7849,570881,MSR-2024_02.pdf,1.3.1
2024-02-01,CALVERT,23448,27960,16321,462,,,2,734,68927,MSR-2024_02.pdf,1.3.1
2024-02-01,CAROLINE,6070,10680,4852,126,,,1,261,21990,MSR-2024_02.pdf,1.3.1
2024-02-01,CARROLL,33162,63402,30203,859,,,1,1345,128972,MSR-2024_02.pdf,1.3.1
2024-02-01,CECIL,19684,33267,17611,483,,,1,929,71975,MSR-2024_02.pdf,1.3.1
2024-02-01,CHARLES,74747,22907,24136,442,,,3,1209,123444,MSR-2024_02.pdf,1.3.1
2024-02-01,DORCHESTER,9502,9191,4177,112,,,0,259,23241,MSR-2024_02.pdf,1.3.1
2024-02-01,FREDERICK,77501,67799,52608,1233,,,8,1729,200878,MSR-2024_02.pdf,1.3.1
2024-02-01,GARRETT,3545,13672,3069,111,,,0,207,20604,MSR-2024_02.pdf,1.3.1
2024-02-01,HARFORD,64423,80394,44372,1244,,,2,2231,192666,MSR-2024_02.pdf,1.3.1
2024-02-01,HOWARD,121200,48118,61380,964,,,8,2504,234174,MSR-2024_02.pdf,1.3.1
2024-02-01,KENT,5772,5266,2761,69,,,0,144,14012,MSR-2024_02.pdf,1.3.1
2024-02-01,MONTGOMERY,406131,97384,169295,2331,,,9,7198,682348,MSR-2024_02.pdf,1.3.1
2024-02-01,PR. GEORGE'S,453715,38016,95630,1511,,,15,12464,601351,MSR-2024_02.pdf,1.3.1
2024-02-01,QUEEN ANNE'S,11049,20007,8777,232,,,1,394,40460,MSR-2024_02.pdf,1.3.1
2024-02-01,ST. MARY'S,24711,31794,17789,483,,,2,841,75620,MSR-2024_02.pdf,1.3.1
2024-02-01,SOMERSET,5447,6122,2493,65,,,0,166,14293,MSR-2024_02.pdf,1.3.1
2024-02-01,TALBOT,10540,11592,6012,155,,,0,276,28575,MSR-2024_02.pdf,1.3.1
2024-02-01,WASHINGTON,30823,44050,23632,646,,,1,1167,100319,MSR-2024_02.pdf,1.3.1
2024-02-01,WICOMICO,26300,23972,14667,357,,,2,901,66199,MSR-2024_02.pdf,1.3.1
2024-02-01,WORCESTER,13578,19463,9011,230,,,1,570,42853,MSR-2024_02.pdf,1.3.1
